id;status;requested_at;reason;from_location_label;to_location_label;esign_workflow_id;esign_status;esign_last_update;signed_at;executed_at;requested_by;approved_by
1;REJECTED;2025-12-16T08:42:22;Déplacement non justifié pour l’état actuel de l’équipement;Magasin Central – Jorf Lasfar;Atelier Maintenance – Jorf Lasfar;WF-REQ-001;REJECTED;2025-12-16T09:10:00;2025-12-16T09:15:00;;chef_maintenance;responsable_site
2;SIGNED;2025-12-16T09:27:40;Besoin de mise à disposition sur ligne de production;Magasin Central – Jorf Lasfar;Ligne Production Acide – Jorf Lasfar;WF-REQ-002;SIGNED;2025-12-16T10:00:00;2025-12-16T10:05:00;;responsable_production;responsable_site
3;EXECUTED;2025-12-16T06:35:18;Transfert pour maintenance corrective urgente;Ligne Production Engrais – Jorf Lasfar;Atelier Maintenance – Jorf Lasfar;WF-REQ-003;SIGNED;2025-12-16T07:00:00;2025-12-16T07:05:00;2025-12-16T08:30:00;chef_maintenance;responsable_site
4;DRAFT;2025-12-16T07:02:24;Préparation déplacement préventif planifié;Magasin Central – Jorf Lasfar;Zone Stockage Matières Premières – Jorf Lasfar;;;;;;;responsable_logistique
5;SUBMITTED;2025-12-16T11:43:00;Optimisation emplacement équipement avant campagne;Zone Stockage Matières Premières – Jorf Lasfar;Ligne Production Engrais – Jorf Lasfar;WF-REQ-005;PENDING;2025-12-16T12:00:00;;;;responsable_production
6;SIGNING;2025-12-16T13:57:33;Besoin temporaire pour essais techniques;Atelier Maintenance – Jorf Lasfar;Ligne Production Acide – Jorf Lasfar;WF-REQ-006;SIGNING;2025-12-16T14:10:00;;;;chef_maintenance
7;SIGNING;2025-12-16T15:25:51;Réaffectation équipement suite arrêt ligne;Ligne Production Engrais – Jorf Lasfar;Magasin Central – Jorf Lasfar;WF-REQ-007;SIGNING;2025-12-16T15:40:00;;;;responsable_production
8;REJECTED;2025-12-16T17:00:23;Demande incompatible avec le planning de production;Magasin Central – Jorf Lasfar;Zone Chargement Portuaire – Jorf Lasfar;WF-REQ-008;REJECTED;2025-12-16T17:30:00;2025-12-16T17:35:00;;responsable_logistique;responsable_site
9;EXECUTED;2025-12-16T06:16:43;Acheminement équipement vers zone portuaire;Atelier Maintenance – Jorf Lasfar;Zone Chargement Portuaire – Jorf Lasfar;WF-REQ-009;SIGNED;2025-12-16T06:45:00;2025-12-16T06:50:00;2025-12-16T08:10:00;responsable_logistique;responsable_site
10;REJECTED;2025-12-16T07:14:51;Équipement non disponible à la date demandée;Ligne Production Acide – Jorf Lasfar;Ligne Production Engrais – Jorf Lasfar;WF-REQ-010;REJECTED;2025-12-16T07:40:00;2025-12-16T07:45:00;;responsable_production;responsable_site
